day,month,hour,totalDemend, coal ,gas, renewable , other ,GHI_ (WH/M^2),Wind_Speed_(M\Sec)
01/01/2020,1,0:00," 7,821 "," 2,609 "," 5,179 ", 13 , 20 ,0,0.9
01/01/2020,1,1:00," 7,006 "," 2,475 "," 4,499 ", 13 , 19 ,0,1
01/01/2020,1,2:00," 6,453 "," 2,330 "," 4,091 ", 13 , 19 ,0,1
01/01/2020,1,3:00," 6,164 "," 2,189 "," 3,944 ", 12 , 19 ,0,1
01/01/2020,1,4:00," 6,122 "," 2,200 "," 3,890 ", 12 , 20 ,0,1
01/01/2020,1,5:00," 6,422 "," 2,263 "," 4,127 ", 12 , 20 ,4,0.9
01/01/2020,1,6:00," 7,020 "," 2,242 "," 4,747 ", 12 , 19 ,99,0.8
01/01/2020,1,7:00," 7,844 "," 2,428 "," 5,386 ", 11 , 19 ,242,0.9
01/01/2020,1,8:00," 8,407 "," 2,802 "," 5,364 ", 222 , 19 ,446,0.8
01/01/2020,1,9:00," 8,671 "," 3,164 "," 4,919 ", 442 , 146 ,547,0.8
01/01/2020,1,10:00," 8,767 "," 3,284 "," 4,495 ", 838 , 150 ,619,0.9
01/01/2020,1,11:00," 8,698 "," 3,034 "," 4,720 ", 925 , 19 ,586,1
01/01/2020,1,12:00," 8,726 "," 2,951 "," 4,864 ", 892 , 19 ,493,1.3
01/01/2020,1,13:00," 8,835 "," 3,116 "," 4,862 ", 836 , 21 ,320,1.6
01/01/2020,1,14:00," 8,947 "," 3,163 "," 5,040 ", 706 , 38 ,175,1.6
01/01/2020,1,15:00," 9,033 "," 3,082 "," 5,467 ", 464 , 20 ,35,1.4
01/01/2020,1,16:00," 9,003 "," 2,905 "," 5,923 ", 156 , 19 ,0,1.3
01/01/2020,1,17:00," 10,063 "," 3,078 "," 6,845 ", 43 , 97 ,0,1.1
01/01/2020,1,18:00," 10,781 "," 3,441 "," 7,145 ", 43 , 152 ,0,0.8
01/01/2020,1,19:00," 11,021 "," 3,486 "," 7,277 ", 43 , 215 ,0,0.6
01/01/2020,1,20:00," 10,952 "," 3,487 "," 7,214 ", 43 , 208 ,0,0.5
01/01/2020,1,21:00," 10,570 "," 3,473 "," 6,941 ", 43 , 113 ,0,0.5
01/01/2020,1,22:00," 9,766 "," 3,486 "," 6,219 ", 42 , 19 ,0,0.8
01/01/2020,1,23:00," 8,986 "," 3,358 "," 5,599 ", 11 , 18 ,0,1.1
02/01/2020,1,0:00," 7,767 "," 2,659 "," 5,081 ", 9 , 18 ,0,1
02/01/2020,1,1:00," 6,851 "," 2,196 "," 4,625 ", 11 , 19 ,0,1.2
02/01/2020,1,2:00," 6,280 "," 2,201 "," 4,049 ", 12 , 18 ,0,1.6
02/01/2020,1,3:00," 6,034 "," 2,200 "," 3,805 ", 11 , 18 ,0,1.9
02/01/2020,1,4:00," 6,056 "," 2,205 "," 3,822 ", 11 , 18 ,0,2.1
02/01/2020,1,5:00," 6,458 "," 2,206 "," 4,223 ", 11 , 18 ,3,2.1
02/01/2020,1,6:00," 7,158 "," 2,207 "," 4,922 ", 11 , 18 ,107,2.1
02/01/2020,1,7:00," 8,088 "," 2,204 "," 5,856 ", 10 , 18 ,271,2.6
02/01/2020,1,8:00," 8,630 "," 2,218 "," 6,052 ", 342 , 18 ,420,2.9
02/01/2020,1,9:00," 8,999 "," 2,802 "," 5,429 ", 750 , 18 ,484,3.1
02/01/2020,1,10:00," 9,349 "," 3,046 "," 5,187 "," 1,095 ", 21 ,530,3.6
02/01/2020,1,11:00," 9,595 "," 2,940 "," 5,411 "," 1,222 ", 22 ,465,4
02/01/2020,1,12:00," 9,887 "," 2,943 "," 5,699 "," 1,222 ", 23 ,395,4.1
02/01/2020,1,13:00," 9,927 "," 2,949 "," 5,824 "," 1,134 ", 20 ,342,3.9
02/01/2020,1,14:00," 9,899 "," 3,015 "," 5,946 ", 918 , 20 ,185,3.4
02/01/2020,1,15:00," 9,946 "," 3,022 "," 6,152 ", 677 , 95 ,34,2.7
02/01/2020,1,16:00," 9,744 "," 3,051 "," 6,471 ", 203 , 19 ,0,2.6
02/01/2020,1,17:00," 10,699 "," 3,084 "," 7,511 ", 85 , 19 ,0,2.4
02/01/2020,1,18:00," 11,275 "," 3,218 "," 7,995 ", 43 , 19 ,0,2.2
02/01/2020,1,19:00," 11,438 "," 3,094 "," 8,282 ", 43 , 19 ,0,1.8
02/01/2020,1,20:00," 11,291 "," 3,086 "," 8,143 ", 43 , 19 ,0,1.3
02/01/2020,1,21:00," 10,824 "," 3,104 "," 7,654 ", 43 , 23 ,0,1.4
02/01/2020,1,22:00," 9,986 "," 3,092 "," 6,834 ", 43 , 17 ,0,2.3
02/01/2020,1,23:00," 9,178 "," 2,861 "," 6,286 ", 12 , 19 ,0,2.8
03/01/2020,1,0:00," 8,080 "," 2,333 "," 5,716 ", 12 , 19 ,0,2.9
